date,red_fighter,blue_fighter,total_minutes,red_kd,red_sig_str_landed,red_sig_str_attempted,red_td_landed,red_td_attempted,red_sub_att,red_ctrl_seconds,blue_kd,blue_sig_str_landed,blue_sig_str_attempted,blue_td_landed,blue_td_attempted,blue_sub_att,blue_ctrl_seconds
2011-08-06,Johny Hendricks,Mike Pierce,15.0,0.0,54.0,121.0,1.0,6.0,0.0,112.0,0.0,37.0,99.0,1.0,4.0,0.0,190.0
2011-08-06,Mike Brown,Nam Phan,15.0,0.0,60.0,123.0,5.0,18.0,0.0,517.0,0.0,38.0,120.0,0.0,0.0,0.0,0.0
2011-08-06,Rafael Natal,Paul Bradley,15.0,0.0,43.0,123.0,0.0,1.0,0.0,3.0,0.0,13.0,67.0,3.0,12.0,0.0,153.0
2011-07-02,Dominick Cruz,Urijah Faber,25.0,0.0,90.0,238.0,4.0,13.0,0.0,138.0,0.0,50.0,170.0,1.0,5.0,0.0,45.0
2011-07-02,Wanderlei Silva,Chris Leben,0.45,0.0,3.0,8.0,0.0,0.0,0.0,0.0,1.0,9.0,10.0,0.0,0.0,0.0,2.0
2011-07-02,Dennis Siver,Matt Wiman,15.0,0.0,31.0,111.0,1.0,1.0,0.0,89.0,0.0,26.0,73.0,5.0,16.0,2.0,453.0
2011-07-02,Tito Ortiz,Ryan Bader,1.933,1.0,6.0,16.0,0.0,0.0,1.0,6.0,0.0,4.0,21.0,0.0,0.0,0.0,9.0
2011-07-02,Carlos Condit,Dong Hyun Kim,2.967,1.0,8.0,21.0,0.0,0.0,1.0,9.0,0.0,1.0,6.0,1.0,1.0,0.0,14.0
2011-07-02,Melvin Guillard,Shane Roller,2.2,2.0,17.0,42.0,0.0,0.0,0.0,6.0,0.0,1.0,13.0,0.0,0.0,0.0,0.0
2011-07-02,George Sotiropoulos,Rafael Dos Anjos,0.983,0.0,2.0,24.0,0.0,0.0,0.0,0.0,1.0,2.0,10.0,0.0,0.0,0.0,3.0
2011-07-02,Brian Bowles,Takeya Mizugaki,15.0,0.0,29.0,86.0,1.0,1.0,0.0,368.0,0.0,14.0,89.0,0.0,0.0,0.0,23.0
2011-07-02,Brad Tavares,Aaron Simpson,15.0,0.0,13.0,33.0,1.0,4.0,0.0,58.0,0.0,43.0,66.0,2.0,15.0,2.0,660.0
